id,name,gender,address,state,ssn,zip,latitude,longitude,email,phone_number,first_visit,birth_date,sentiment,churn_risk,persona
d2e5dcab-8bbe-490c-9a08-761d396bc575,Jose Clark,MALE,54021 Cinder Snake Lace,ne,134-91-2512,75216,32.79,-96.76,AnderaAdkisson@example.com,423-956-8334,4/17/1998,6/23/1926,NEUTRAL,10,2
319b0ffc-9200-4c2c-9c84-390db52a551c,Lillian Fountain,FEMALE,36054 Sunny Shadow Quay,ga,584-97-9920,73734,35.98,-97.91,JewellSchoolcraft@example.com,893-736-1958,1/30/1994,3/22/1994,POSITIVE,20,3
9b7c5be8-2691-40ed-bd86-a735282acb46,John Watchman,FEMALE,39404 Umber Island Heights,wa,574-35-6527,6925,41.09,-73.55,JuanMazzarella@example.com,418-517-2379,11/28/2002,11/16/1984,NEUTRAL,19,3
b551a5f3-9dc8-4fdf-9c31-4c62afd8eb75,William Lopez,FEMALE,11493 Honey Leaf Promenade,va,519-09-6613,36439,31.42,-87.34,ToddSullivan@example.com,750-399-3051,6/6/2008,9/29/1980,NEGATIVE,23,1
417838ae-81c5-4515-958d-4dd19895f486,Michael Locke,MALE,6350 Long Leaf Street,az,544-16-2021,8270,39.22,-74.8,JonathanObrien@example.com,919-434-2979,6/9/2013,5/18/1971,POSITIVE,1,2
6d63f1e9-1a55-4d3f-baf8-bf74c5356a13,Loretta Avery,FEMALE,75913 Green Embers Haven,wa,585-47-0399,75904,31.33,-94.72,JamesPhillips@example.com,792-914-7751,11/16/2009,7/14/1935,NEUTRAL,9,3
0e2d4a63-a9a3-4fc7-ae58-49d53a23719d,Dan Curcio,FEMALE,2197 Square Apple Mews,tx,439-85-6155,76082,32.96,-97.68,MarilynLovell@example.com,822-649-8949,5/2/1994,3/24/1989,NEUTRAL,6,1
7f4b12f2-341b-4ea5-a11b-c3f9b3c12d81,Gwen Bryant,OTHER,13563 Little Willow Lagoon,ky,576-22-8286,93190,34.42,-119.7,RachelPfeifer@example.com,923-558-2673,1/19/1995,6/10/1942,NEGATIVE,2,3
7fb2a361-f13d-4d15-ae21-09158197ef26,Beulah Simmons,FEMALE,13999 Green Blossom Saunter,mi,467-19-2538,93599,34.57,-118.11,AdamLopez@example.com,175-788-8134,1/28/1994,7/19/1994,POSITIVE,10,2
c7401572-b1d3-42e7-8053-d3e083b70ee3,Vicki Baumann,FEMALE,3713 Twin Bear Point,or,477-06-8853,22972,38.2,-78.23,WestonBrown@example.com,882-443-1765,7/13/2000,3/10/1980,NEGATIVE,16,3
